Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
16-Aug-2018,29619.80,29761.00,29454.25,29498.00,167220569,3732.79
17-Aug-2018,29646.05,29959.25,29643.60,29940.70,151311531,3871.14
20-Aug-2018,30072.65,30308.40,30062.75,30286.40,186181132,4217.02
21-Aug-2018,30377.05,30507.95,30255.35,30417.40,162680102,4413.34
23-Aug-2018,30502.65,30620.70,30380.60,30591.95,173161555,4618.70
24-Aug-2018,30556.25,30642.45,30357.75,30547.15,229018494,4710.18
27-Aug-2018,30662.35,30858.75,30650.80,30807.20,196508542,4753.76
28-Aug-2018,30876.75,30953.50,30693.00,30768.10,169318098,4197.27
29-Aug-2018,30819.15,31088.25,30745.50,30981.95,253567597,6034.73
30-Aug-2018,31002.65,31175.20,30938.40,31097.35,272211990,6402.51
31-Aug-2018,31147.70,31371.85,31063.60,31251.70,276998388,5665.52
03-Sep-2018,31431.70,31436.75,30946.15,31022.25,220946022,4646.26
04-Sep-2018,30989.70,31046.00,29950.80,30074.85,206975543,4972.70
05-Sep-2018,29982.80,30064.65,29519.75,29895.10,349185298,6226.16
06-Sep-2018,30045.45,30134.40,29824.35,30105.75,241411515,5996.77
07-Sep-2018,30178.75,30474.30,30009.55,30442.70,243809668,6887.11
10-Sep-2018,30403.70,30505.80,29863.95,29909.95,194625832,4633.66
11-Sep-2018,30001.75,30062.75,29329.75,29360.75,227372973,5023.68
12-Sep-2018,29414.90,29557.85,29094.45,29497.40,255004423,5466.53
14-Sep-2018,29698.60,30050.55,29688.40,30022.25,196847683,4887.84
17-Sep-2018,29901.90,29920.45,29641.25,29769.90,176238500,4444.50
18-Sep-2018,29756.35,29867.50,29307.30,29344.15,311034265,5530.89
19-Sep-2018,29468.35,29549.20,29072.40,29217.65,272820622,5187.19
21-Sep-2018,29348.85,29496.50,27226.50,28632.00,384789336,7590.06
24-Sep-2018,28742.70,28751.05,27719.50,27763.75,243500774,4706.17
25-Sep-2018,27721.85,28135.10,27361.15,28021.05,307594745,5514.93
26-Sep-2018,28278.05,28311.15,27880.70,28104.60,257410425,4428.07
27-Sep-2018,28155.30,28166.35,27592.65,27636.45,281655438,5958.32
28-Sep-2018,27783.35,27839.55,26982.80,27286.50,219923683,5272.09
01-Oct-2018,27231.40,27376.20,26656.75,27307.90,214643174,4794.59
03-Oct-2018,27266.90,27379.65,26881.25,26959.35,221273502,5175.68
04-Oct-2018,26672.40,26819.20,26213.25,26539.15,211686973,5079.38
05-Oct-2018,26396.30,26468.55,25767.95,25903.25,220341474,4422.50
08-Oct-2018,25857.95,25996.15,25285.45,25634.25,205689206,4413.52
09-Oct-2018,25747.20,25837.75,25102.80,25499.95,196708521,4599.26
10-Oct-2018,25591.75,26356.70,25591.75,26324.35,221841966,5036.85
11-Oct-2018,25570.05,26166.35,25346.45,25831.25,178729215,4445.51
12-Oct-2018,26103.60,26471.70,26097.20,26378.40,163588106,4083.08
15-Oct-2018,26476.90,26537.35,26169.85,26489.05,123080998,3416.35
16-Oct-2018,26599.00,26890.15,26575.65,26861.65,136288310,3543.76
17-Oct-2018,27097.00,27173.45,26237.55,26277.15,161152445,4100.19
19-Oct-2018,26141.00,26333.85,25887.55,26053.90,196863587,4927.43
22-Oct-2018,26270.35,26316.65,25882.10,25935.45,142933451,3641.62
23-Oct-2018,25754.00,25906.90,25450.75,25605.00,136635946,3558.24
24-Oct-2018,25796.70,25959.45,25409.35,25698.70,160881291,4094.45
25-Oct-2018,25384.80,25587.10,25286.30,25335.80,250502872,5462.09
26-Oct-2018,25400.10,25535.10,25040.45,25369.25,198554829,4392.26
29-Oct-2018,25459.45,26005.45,25290.25,25967.00,173624205,4329.43
30-Oct-2018,25992.25,26184.80,25932.50,26104.65,201041862,4301.57
31-Oct-2018,26208.75,26610.70,25899.10,26566.35,217996215,5561.03
01-Nov-2018,26697.50,26873.35,26596.15,26728.80,202429387,5374.04
02-Nov-2018,26938.50,27370.00,26930.80,27134.90,217547984,4953.98
05-Nov-2018,27120.55,27306.55,26987.75,27219.65,157227705,3561.95
06-Nov-2018,27299.35,27369.25,26925.05,27064.30,123897756,2978.13
07-Nov-2018,27247.20,27284.45,27205.35,27248.20,16820519,421.63
09-Nov-2018,27298.35,27410.90,27192.65,27367.45,133758755,3238.96
12-Nov-2018,27443.05,27519.50,26996.75,27051.55,116949608,3101.60
13-Nov-2018,27017.80,27153.70,26736.60,27121.80,120315899,3316.47
14-Nov-2018,27199.95,27289.70,27019.15,27149.30,270995517,5159.70
15-Nov-2018,27154.80,27298.70,26964.85,27254.65,210982496,3876.72
16-Nov-2018,27307.80,27435.15,27207.20,27359.35,246127297,4165.63
19-Nov-2018,27483.70,27539.30,27338.85,27508.30,199720265,3751.63
20-Nov-2018,27440.25,27508.45,27120.75,27163.15,177032334,3367.93
21-Nov-2018,27226.80,27411.75,27147.45,27375.10,180880074,3379.35
22-Nov-2018,27378.45,27418.70,27148.35,27187.45,159218107,2829.68
26-Nov-2018,27287.70,27350.15,27010.05,27287.25,173676208,3754.87
27-Nov-2018,27250.90,27377.15,27193.30,27259.95,156949389,3453.98
28-Nov-2018,27265.50,27356.85,27146.30,27188.95,170659927,3729.91
29-Nov-2018,27316.55,27442.15,27241.40,27390.55,226423702,5197.15
30-Nov-2018,27449.20,27604.80,27391.35,27593.70,332367654,6445.22
03-Dec-2018,27720.15,27735.05,27517.85,27681.30,183212947,3809.02
04-Dec-2018,27679.30,27773.40,27561.90,27599.15,153259999,3616.72
05-Dec-2018,27472.90,27490.50,27124.70,27215.25,176415176,3720.06
06-Dec-2018,27042.45,27042.45,26766.75,26798.30,176258895,3767.73
07-Dec-2018,26884.85,26970.15,26724.80,26915.65,156076001,3167.96
10-Dec-2018,26473.30,26563.50,26329.80,26426.05,143172931,2900.78
11-Dec-2018,26099.55,26929.40,26083.55,26842.65,174571106,3635.05
12-Dec-2018,26967.10,27471.65,26950.45,27440.85,153464654,3602.45
13-Dec-2018,27562.65,27877.15,27551.40,27720.50,157036173,4129.13
14-Dec-2018,27747.05,27940.25,27667.75,27814.05,182281619,4281.70
17-Dec-2018,27900.45,28052.85,27837.70,28034.35,125381578,3247.67
18-Dec-2018,27978.20,28244.05,27896.65,28169.80,132720855,3248.05
19-Dec-2018,28314.75,28636.55,28301.50,28564.25,182925165,5189.19
20-Dec-2018,28438.65,28639.30,28320.75,28405.50,146209392,3663.66
21-Dec-2018,28479.15,28559.65,27955.00,28017.35,209651060,4903.90
24-Dec-2018,28001.05,28098.50,27590.70,27620.60,145296806,3409.33
26-Dec-2018,27531.95,27799.15,27137.90,27725.65,160385835,3831.65
27-Dec-2018,27885.75,27959.85,27739.90,27780.95,213385891,4325.34
28-Dec-2018,27863.40,28123.65,27860.90,28063.20,125608044,3151.38
31-Dec-2018,28161.30,28261.00,28110.50,28178.80,119740678,3181.62
