SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MCLEODRUSS,EQ,6,6.45,6,6.35,6.45,6.15,79621,497910.85,27-OCT-2019,243,INE942G01012,
MCX,EQ,1150.8,1159.85,1130.8,1145.4,1147,1138.25,115317,132442795.85,27-OCT-2019,5311,INE745G01035,
MEGASOFT,EQ,7.2,7.2,6.75,6.9,7.2,6.95,815,5621.8,27-OCT-2019,32,INE933B01012,
MEGH,EQ,50.1,50.95,50.1,50.85,50.85,49.8,115545,5854221.75,27-OCT-2019,892,INE974H01013,
MELSTAR,BE,0.9,0.9,0.9,0.9,0.9,0.9,2,1.8,27-OCT-2019,2,INE817A01019,
MENONBE,EQ,58.2,60.8,58.2,59.45,59.9,57.5,3592,214171.85,27-OCT-2019,121,INE071D01033,
MEP,EQ,28.1,29.45,28.1,29.05,29,28.45,265147,7687915.4,27-OCT-2019,143,INE776I01010,
MERCATOR,EQ,0.95,0.95,0.95,0.95,0.95,0.9,23915,22719.25,27-OCT-2019,30,INE934B01028,
METALFORGE,EQ,6.5,6.5,6.4,6.5,6.5,6.2,10996,71360.2,27-OCT-2019,35,INE425A01011,
METKORE,BZ,0.2,0.2,0.2,0.2,0.2,0.2,1080,216,27-OCT-2019,1,INE592I01029,
METROPOLIS,EQ,1419.9,1475.9,1415.4,1459.15,1434,1408.35,27716,40311689.1,27-OCT-2019,1964,INE112L01020,
MFSL,EQ,408.6,414,406.25,412.65,411.95,404.65,44539,18316103.25,27-OCT-2019,934,INE180A01020,
MGL,EQ,976.8,985,976,983.15,983,971.8,83308,81816124.7,27-OCT-2019,3223,INE002S01010,
MHRIL,EQ,217,219.9,199.95,210,210.85,214.95,71844,14816995.35,27-OCT-2019,1417,INE998I01010,
MIC,BE,0.6,0.6,0.5,0.55,0.55,0.55,48413,27574.25,27-OCT-2019,19,INE287C01029,
MIDHANI,EQ,135,136,133.1,134.5,134.85,133.4,48041,6475271.95,27-OCT-2019,715,INE099Z01011,
MINDACORP,EQ,85.95,85.95,83.6,84.3,84,83,15701,1327745.05,27-OCT-2019,340,INE842C01021,
MINDAIND,EQ,372,379.9,366.05,368.95,369,365.6,18661,6914355.15,27-OCT-2019,1093,INE405E01023,
MINDTECK,EQ,32.9,33,31.3,32.2,31.65,31.2,418,13496.2,27-OCT-2019,18,INE110B01017,
MINDTREE,EQ,723,740.3,704.85,713.65,714.9,718.7,76267,54664898.5,27-OCT-2019,2139,INE018I01017,
MIRCELECTR,EQ,7.35,7.35,7.1,7.35,7.35,7,40070,293554,27-OCT-2019,62,INE831A01028,
MIRZAINT,EQ,56.5,56.65,56,56.25,56.5,56.5,28819,1623133.3,27-OCT-2019,270,INE771A01026,
MMFL,EQ,400.55,422,400.55,412.8,410,408.5,1840,766881.95,27-OCT-2019,101,INE227C01017,
MMTC,EQ,17.4,18.2,17.35,17.75,18.2,17.25,321235,5694753.8,27-OCT-2019,990,INE123F01029,
MOHITIND,EQ,5,5,5,5,5,4.7,1668,8340,27-OCT-2019,4,INE954E01012,
MOHOTAIND,EQ,11.65,11.65,11.1,11.15,11.1,11.1,1072,11994.4,27-OCT-2019,16,INE313D01013,
MOIL,EQ,144.55,145.25,144,144.5,144.4,144.2,45011,6512408.05,27-OCT-2019,1023,INE490G01020,
MOLDTECH,EQ,53.95,53.95,50.15,50.4,50.2,50.65,1694,85630.8,27-OCT-2019,33,INE835B01035,
MOLDTKPAC,EQ,300,304.8,299.95,303.05,303,296.75,5606,1699149.6,27-OCT-2019,265,INE893J01029,
MONTECARLO,EQ,232,237,225,235.7,235.85,228.35,1497,350331.9,27-OCT-2019,93,INE950M01013,
MOREPENLAB,EQ,15.95,16.45,15.85,16.25,16.3,15.85,138610,2246346.35,27-OCT-2019,470,INE083A01026,
MOTHERSUMI,EQ,114.3,114.95,111.4,112.7,112.6,111,1592123,180486698.9,27-OCT-2019,14257,INE775A01035,
MOTILALOFS,EQ,608.8,636,603.1,624.9,630,600.5,66030,41020850.95,27-OCT-2019,1390,INE338I01027,
MOTOGENFIN,EQ,32.9,32.9,32.9,32.9,32.9,31.35,1,32.9,27-OCT-2019,1,INE861B01015,
MPHASIS,EQ,944,944,927,937.15,938,944.75,3979,3723434.25,27-OCT-2019,362,INE356A01018,
MPSLTD,EQ,534.95,540,510.1,525.15,524.9,508.35,1042,549860.6,27-OCT-2019,98,INE943D01017,
MPTODAY,SM,22.05,22.05,22.05,22.05,22.05,23.2,4000,88200,27-OCT-2019,2,INE105Y01019,
